,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date
1447,1954,Qtr 1,February,5,McDonnell Douglas,Douglas C 475895,Susitna Valley Alaska,Force Air U.S. - Military,0,10,16,USA,1954-02-05
1448,1954,Qtr 1,February,12,Avro,Avro Shackleton MR 2WL794,Off Gozo Malta,Force Air Royal - Military,0,10,10,Mal,1954-02-12
1449,1954,Qtr 1,February,25,McDonnell Douglas,Douglas DC 3VT,New Delhi India,Airlines Indian,0,3,3,India,1954-02-25
1450,1954,Qtr 1,February,26,Convair,Convair CV 240N8407H,Wright Wyoming,Airlines Western,0,9,9,USA,1954-02-26
1451,1954,Qtr 1,March,4,McDonnell Douglas,Douglas C 47A,Near St. Etienne de Tinee France,Force Air U.S. - Military,0,20,20,France,1954-03-04
1452,1954,Qtr 1,March,13,Lockheed Martin,Lockheed 749A 79,Kallang Airport Singapore,Airways Overseas British,0,33,40,Singapore,1954-03-13
1453,1954,Qtr 1,March,13,Cessna,C  46?,Dien Bien Phu South,Azur VietnamAigle,0,0,0,Vietnam,1954-03-13
1454,1954,Qtr 1,March,14,McDonnell Douglas,Douglas C 47AVH,Off Mackay Australia,Airlines Queensland,0,2,2,Australia,1954-03-14
1455,1954,Qtr 1,March,19,Fairchild,Fairchild C 110F51,Near Lothian Maryland,Force Air U.S. - Military,0,18,18,USA,1954-03-19
1456,1954,Qtr 1,March,26,McDonnell Douglas,Douglas DC 3XA,Monterrey Mexico,Mexico de Aeronaves,0,18,18,Mexico,1954-03-26
1457,1954,Qtr 2,April,3,McDonnell Douglas,Douglas DC 3TC,Kabassaak Turkey,Yollari Hava Devlet,0,25,25,Turkey,1954-04-03
1458,1954,Qtr 2,April,4,McDonnell Douglas,Douglas C 54AF,Hanoi Vietnam,Autrex,0,4,4,Vietnam,1954-04-04
1459,1954,Qtr 2,April,8,,Canadair C 4,Moose Jaw SK,Canada Trans Canada Air Lines / RCAF,1,36,36,Canada,1954-04-08
1460,1954,Qtr 2,April,8,De Havilland,de Havilland DH106 Comet 1G ALYY,Off Stromboli Italy,leased from British Overseas Airways         Airways African South,0,21,21,Italy,1954-04-08
1461,1954,Qtr 2,April,13,McDonnell Douglas,Douglas DC 3956,Batuco Chile,LAN,0,14,14,Chile,1954-04-13
1462,1954,Qtr 2,April,13,Lockheed Martin,Lockheed 18 LodestarF OALK,Xieng Kouang Laos,Raviteillement de Indochinoise Societe,0,16,23,Laos,1954-04-13
1463,1954,Qtr 2,April,23,McDonnell Douglas,Douglas DC 3LV,Sierra del Vilgo Argentina,Argentinas Aerolineas,0,25,25,Argentina,1954-04-23
1464,1954,Qtr 2,April,30,McDonnell Douglas,Douglas C 47A,Near Calcutta India,Aviation Darbhanga,0,5,11,India,1954-04-30
