,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date
0,1908,Qtr 3,September,17,Wright,Wright Flyer III?,Fort Myer Virginia,Army U.S. - Military,0,1,2,USA,1908-09-17
1,1909,Qtr 3,September,7,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France?,,0,1,1,France,1909-09-07
2,1912,Qtr 3,July,12,,Dirigible?,Atlantic City New,Navy U.S. - JerseyMilitary,0,5,5,New Zealand,1912-07-12
3,1913,Qtr 3,August,6,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1,UK,1913-08-06
4,1913,Qtr 3,September,9,Zeppelin,Zeppelin L 1 (airship)?,Over the North SeaMilitary - German Navy,,0,14,20,UK,1913-09-09
5,1913,Qtr 4,October,17,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,Navy German - Military,0,28,28,Germany,1913-10-17
6,1915,Qtr 1,March,5,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,Navy German - Military,0,17,41,Belgium,1915-03-05
7,1915,Qtr 3,September,3,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,Navy German - Military,0,19,19,Germany,1915-09-03
8,1916,Qtr 3,July,28,,Schutte  Lanz S,Near Jambol Bulgeria,Army German - Military,0,20,20,Bulgaria,1916-07-28
9,1916,Qtr 3,September,24,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,Navy German - Military,0,22,22,UK,1916-09-24
10,1916,Qtr 4,October,1,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,Navy German - Military,0,19,19,UK,1916-10-01
11,1916,Qtr 4,November,21,Zeppelin,Super Zeppelin (airship)?,Mainz Germany,Army German - Military,0,27,28,Germany,1916-11-21
12,1916,Qtr 4,November,28,Zeppelin,Zeppelin L 34 (airship)?,Off West Hartlepool England,Navy German - Military,0,20,20,UK,1916-11-28
13,1917,Qtr 1,March,4,Royal Airship Works,Airship?,Near Gent Belgium,Army German - Military,0,20,20,Belgium,1917-03-04
14,1917,Qtr 1,March,30,,Schutte  Lanz S,Off Northern GermanyMilitary - German Navy,,0,23,23,Germany,1917-03-30
15,1917,Qtr 2,May,14,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,Navy German - SeaMilitary,0,21,21,Netherlands,1917-05-14
16,1917,Qtr 2,June,14,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,Navy German - SeaMilitary,0,24,24,Netherlands,1917-06-14
17,1917,Qtr 2,June,17,Zeppelin,Zepplin L 48 (air ship)L,Near Yarmouth England?,,0,14,16,UK,1917-06-17
18,1917,Qtr 3,August,21,Zeppelin,Zeppelin L 23 (airship)?,Off western DenmarkMilitary - German Navy,,0,18,18,Germany,1917-08-21
19,1917,Qtr 4,October,20,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,Navy German - Military,0,18,18,France,1917-10-20
20,1918,Qtr 2,April,7,Zeppelin,Zeppelin L 59 (airship)?,Over the MediterraneanMilitary - German Navy,,0,23,23,Germany,1918-04-07
21,1918,Qtr 3,August,5,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,Navy German - Military,0,22,22,Germany,1918-08-05
22,1918,Qtr 3,August,11,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,Navy German - SeaMilitary,0,19,19,Netherlands,1918-08-11
23,1918,Qtr 4,December,16,De Havilland,De Havilland DH 497,Elizabeth New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1918-12-16
24,1919,Qtr 2,May,25,De Havilland,De Havilland DH 461,Cleveland Ohio,Service Mail Aerial US,0,1,1,USA,1919-05-25
25,1919,Qtr 3,July,19,De Havilland,De Havilland DH 482,Dix Run Pennsylvania,Service Mail Aerial US,0,1,1,USA,1919-07-19
26,1919,Qtr 3,July,21,,FD Type Dirigible?,Chicago Illinois,Tire Goodyear Express Air Wingfoot,10,3,0,USA,1919-07-21
27,1919,Qtr 3,August,2,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14,Italy,1919-08-02
28,1919,Qtr 4,October,2,De Havilland,De Havilland DH 4?,Newcastle England,Travel and Transport Aircraft,0,1,1,UK,1919-10-02
29,1919,Qtr 4,October,14,Curtiss,Curtiss R 4LM32,Cantonsville Maryland,Service Mail Aerial US,0,1,1,USA,1919-10-14
30,1919,Qtr 4,October,20,De Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Travel and Transport Aircraft,0,0,0,UK,1919-10-20
31,1919,Qtr 4,October,30,De Havilland,De Havilland DH.477,Long Valley New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1919-10-30
32,1919,Qtr 4,December,11,De Havilland,De Havilland DH 4G,Catherham Surrey,UKAircraft Travel Transport,0,1,1,UK,1919-12-11
33,1920,Qtr 1,March,10,De Havilland,De Havilland DH 465,New Paris Indiana,Service Mail Aerial US,0,1,1,USA,1920-03-10
34,1920,Qtr 1,March,30,De Havilland,De Havilland DH 472,Newark New,Service Mail Aerial JerseyUS,0,1,1,New Zealand,1920-03-30
35,1920,Qtr 2,April,10,Curtiss,Curtiss R 4LM49,Newark New,Service Mail Aerial JerseyUS,0,1,2,New Zealand,1920-04-10
36,1920,Qtr 2,April,11,Curtiss,Curtiss JN 4H44,Heller Field New,Service Mail Aerial JerseyUS,0,1,2,New Zealand,1920-04-11
37,1920,Qtr 2,May,12,De Havilland,De Havilland DH 479,Oskaloosa Iowa,Service Mail Aerial US,0,1,2,USA,1920-05-12
38,1920,Qtr 2,June,6,De Havilland,De Havilland DH 4204,Cleveland Ohio,Service Mail Aerial US,0,1,1,USA,1920-06-06
39,1920,Qtr 3,July,20,Farman,Farman F 40?,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,0,1,1,Colombia,1920-07-20
40,1920,Qtr 3,August,16,Armstrong,Armstrong  Whitworth F,Bedford England,Air By,0,1,1,UK,1920-08-16
41,1920,Qtr 3,August,16,De Havilland,De Havilland DH 4317,College Park Maryland,Service Mail Aerial US,0,1,1,USA,1920-08-16
42,1920,Qtr 3,September,1,Junkers,Junkers JL 6305,Morristown New,Service Mail Aerial JerseyUS,0,2,2,New Zealand,1920-09-01
43,1920,Qtr 3,September,15,Junkers,Junkers F 13308,Pemberville Ohio,Service Mail Aerial US,0,2,2,USA,1920-09-15
44,1920,Qtr 3,September,27,De Havilland,De Havilland DH 4316,Hillersburg Pennsylvania,Service Mail Aerial US,0,1,1,USA,1920-09-27
45,1920,Qtr 4,October,2,Salmson,Salmson 2 A,Off Port Vendres France,Airlines Latecoere,0,2,2,France,1920-10-02
46,1920,Qtr 4,October,5,Breguet,Breguet 14F ALTA,Valencia Spain,Airlines Latecoere,0,2,2,Spain,1920-10-05
47,1920,Qtr 4,October,15,De Havilland,De Havilland DH 476,Batavia Illinois,Service Mail Aerial US,0,1,1,USA,1920-10-15
48,1920,Qtr 4,November,7,De Havilland,De Havilland DH 4?,Tie Siding Wyoming,Service Mail Aerial US,0,1,1,USA,1920-11-07
49,1920,Qtr 4,December,14,Handley Page,Handley Page HP 16G,London England,Transport Page Handley,0,4,8,UK,1920-12-14
50,1920,Qtr 4,December,24,Breguet,Breguet 14F ALBO,Barcelona Spain,Aeropostale,0,1,1,Spain,1920-12-24
51,1921,Qtr 1,February,3,De Havilland,De Havilland DH 4130,Mendotta Minnisota,Service Mail Aerial US,0,1,1,USA,1921-02-03
52,1921,Qtr 1,February,9,Junkers,Junkers F 13301,La Crosse Wisconsin,Service Mail Aerial US,0,3,3,USA,1921-02-09
53,1921,Qtr 1,February,15,Breguet,Breguet 14F ALBA,Off GibraltarAeropostale,,0,2,2,UK,1921-02-15
54,1921,Qtr 1,February,22,De Havilland,De Havilland DH 467,Elko Nevada,Service Mail Aerial US,0,1,1,USA,1921-02-22
55,1921,Qtr 2,April,6,Avro,Avro 504H3021,Point Cook Australia,Force Air Australian Royal - Military,0,2,2,Australia,1921-04-06
56,1921,Qtr 2,April,21,De Havilland,De Havilland DH 4160,Mitchel Field NYUS,Service Mail Aerial,0,1,1,USA,1921-04-21
57,1921,Qtr 2,April,29,De Havilland,De Havilland DH 4196,Cleveland Ohio,Service Mail Aerial US,0,1,1,USA,1921-04-29
58,1921,Qtr 2,May,17,De Havilland,"De Havilland DH 4
De Havilland DH",Rock Springs Wyoming,Service Mail Aerial US,0,1,1,USA,1921-05-17
59,1921,Qtr 3,August,14,Breguet,Breguet 14F ALBI,Toulouse France,Aeropostale,0,2,2,France,1921-08-14
60,1921,Qtr 3,August,24,Royal Airship Works,Royal Airship Works ZR 2 (airship)R,River Humber England,Works Airship Royal - Military,1,43,49,UK,1921-08-24
61,1921,Qtr 3,September,6,Potez,Potez IXF ADCD,Paris France,Franco-Roumaine,0,5,5,France,1921-09-06
62,1921,Qtr 4,December,5,Bristol,Bristol 28 TourerG AUDI,Near Murchinson River Australia,Airways Australian West,0,2,2,Australia,1921-12-05
63,1922,Qtr 1,January,14,Handley Page,Handley Page O/10G EATN,Paris France,Transport Page Handley,5,5,5,France,1922-01-14
64,1922,Qtr 1,February,21,,Dirigible Roma (airship)?,Near Norfolk Virginia,Service Air Army U.S. - Military,0,34,45,USA,1922-02-21
65,1922,Qtr 1,March,22,,Aeromarine Model 85 (flying boat)?,North Atlantic OceanAero Limited,,0,5,6,International Waters,1922-03-22
66,1922,Qtr 2,April,7,De Havilland,de Havilland DH 18 / Farman F,Grandvilliers France,Aeriens Express Grands / Airways Daimler,0,7,7,France,1922-04-07
67,1922,Qtr 2,April,8,,??,Pao Ting Fou China?,,0,17,17,China,1922-04-08
68,1922,Qtr 2,June,3,Bleriot,Bleriot Spad 27F ACMH,Off Folkestone Kent,England Cie des Messageries Aeriennes,0,3,3,UK,1922-06-03
69,1922,Qtr 3,July,4,LVG,LVG C VI?,Fuhlsbuttel Germany?,,0,2,3,Germany,1922-07-04
70,1922,Qtr 3,July,16,Potez,Potez 29F FREI,Near Saverne Lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0,5,5,France,1922-07-16
71,1922,Qtr 3,July,26,Breguet,Breguet 14F ALVE,Cadix Spain,Aeriens Express Grands,0,3,3,Spain,1922-07-26
72,1922,Qtr 3,September,7,De Havilland,De Havilland DH 4227,Indianapolis Indiana,Service Mail Aerial US,0,1,1,USA,1922-09-07
73,1922,Qtr 4,October,2,De Havilland,de Havilland DH 9G,Venice Italyde,Service Air Havilland,0,4,4,Italy,1922-10-02
74,1922,Qtr 4,October,25,Breguet,Breguet 14?,Larache Morocco,Aeriens Express Grands,0,2,2,Morocco,1922-10-25
75,1922,Qtr 4,December,3,Breguet,Breguet 14F ALNA,Fez Morocco,Aeriens Express Grands,0,1,1,Morocco,1922-12-03
76,1923,Qtr 1,January,10,Lioré,Lioré  et,Ajaccio France,l'Air de Amee,0,3,4,France,1923-01-10
77,1923,Qtr 1,January,17,Breguet,Breguet 14F ALJU,Barcelona Spain,Aeriens Express Grands,0,1,1,Spain,1923-01-17
78,1923,Qtr 1,January,18,De Havilland,De Havilland DH 4223,Cheyenne Wyoming,Service Mail Aerial US,0,1,1,USA,1923-01-18
79,1923,Qtr 1,February,26,De Havilland,De Havilland DH 4291,Meadville Pennsylvania,Service Mail Aerial US,0,1,1,USA,1923-02-26
80,1923,Qtr 2,May,14,Farman,Farman F 60 GoliathF,Near Amiens Picrdie,France Grands Express Aeriens (Air Union),0,6,6,France,1923-05-14
81,1923,Qtr 3,August,27,Blériot and SPAD,Blériot Spad 46F AEGN,Bucharest Romania,Roumaine France Campagnie,0,2,2,Romania,1923-08-27
82,1923,Qtr 3,August,27,Farman,Farman F.60 GoliathF AECB,East Mallling United,Union KingdomAir,0,1,11,UK,1923-08-27
83,1923,Qtr 3,September,7,De Havilland,De Havilland DH 4283,Colton Ohio,Service Mail Aerial US,0,1,1,USA,1923-09-07
84,1923,Qtr 3,September,14,De Havilland,de Havilland DH 34G,Near Ivinghoe Buckinghamshire,England Daimler Airways,0,5,5,UK,1923-09-14
85,1923,Qtr 4,November,18,Junkers,Junkers F 13D,RussiaCCCP,,0,3,5,Russia,1923-11-18
86,1923,Qtr 4,December,6,De Havilland,De Havilland DH 4318,Castalia Ohio,Service Mail Aerial US,0,1,1,USA,1923-12-06
87,1923,Qtr 4,December,23,Zeppelin,Zeppelin Dixmunde (airship)L 72,Over the Mediterranean SeaMilitary - French Navy,,0,52,52,France,1923-12-23
88,1923,Qtr 4,December,24,De Havilland,De Havilland DH 4315,Egbert WYUS,Service Mail Aerial,0,1,1,USA,1923-12-24
89,1924,Qtr 1,March,7,De Havilland,De Havilland DH 4327,Grampian Pennsylvania,Service Mail Aerial US,0,1,1,USA,1924-03-07
90,1924,Qtr 2,April,24,Fokker,Fokker F.IIIH NABS,Over the English ChannelKLM Royal Dutch Airlines,,0,3,3,UK,1924-04-24
91,1924,Qtr 2,June,8,Junkers,Junkers F 13A16,Barranquilla Colombia,SCADTA,0,5,5,Colombia,1924-06-08
92,1924,Qtr 3,August,1,De Havilland,De Havilland DH 4297,United StatesUS Aerial Mail Service,,0,1,1,USA,1924-08-01
93,1924,Qtr 4,November,6,Breguet,Breguet 14F AFBD,Cabrerolles France,Aeriens Express Grands,0,1,1,France,1924-11-06
94,1924,Qtr 4,December,21,De Havilland,De Havilland DH 4311,Goshen Indiana,Service Mail Aerial US,0,1,1,USA,1924-12-21
95,1924,Qtr 4,December,24,De Havilland,de Havilland DH 34BG,Purley England,Airways Imperial,0,8,8,UK,1924-12-24
96,1925,Qtr 1,March,22,Junkers,Junkers F 13R,Near Tiflis Georgia,USSRZakavia,0,5,5,USA,1925-03-22
97,1925,Qtr 2,April,25,Breguet,Breguet 14F AFBB,Alicante Spain,Aeriens Express Grands,0,3,3,Spain,1925-04-25
98,1925,Qtr 2,June,25,Fokker,Fokker (KLM)  F.IIIH NABM,Landrécies France,Airlines Dutch Royal KLM,0,4,4,France,1925-06-25
99,1925,Qtr 2,June,26,Lioré,Lioré  et,Alicante Spain,Aeriens Express Grands,0,2,2,Spain,1925-06-26
100,1925,Qtr 3,July,20,Breguet,Breguet 14F AFBI,Rosas Spain,Latecoere Aeriennes Lignes,0,1,1,Spain,1925-07-20
101,1925,Qtr 3,July,24,Potez,Potez IX?,Budapest Hungary,CIDNA,0,1,1,Hungary,1925-07-24
102,1925,Qtr 3,September,3,,Dirigible ZR 1 Shenandoah (airship)ZR,Caldwell Ohio,Navy U.S. - Military,0,14,43,USA,1925-09-03
103,1925,Qtr 3,September,7,Blériot and SPAD,Spad 33?,Toul France,CIDNA,0,0,0,France,1925-09-07
104,1925,Qtr 4,October,1,De Havilland,De Havilland DH 4385,Mt. Nittany Ohio,Service Mail Aerial US,0,1,1,USA,1925-10-01
105,1925,Qtr 4,November,14,Farman,Farman F 60 GoliathF,Off Boulogne-sur-Mer France,Union Air,0,2,2,France,1925-11-14
106,1925,Qtr 4,November,14,Breguet,Breguet 14F AEGZ,Nouadhibou Mauritania,Latecoere Aeriennes Lignes,0,1,1,Mauritania,1925-11-14
107,1926,Qtr 1,February,12,Curtiss,Curtiss Carrier Pigeon602,Montpelier Ohio,Service Mail Aerial US,0,1,1,USA,1926-02-12
108,1926,Qtr 1,March,8,Junkers,Junkers F 13D,Staaken Germany,Lufthansa Deutche,0,1,1,Germany,1926-03-08
109,1926,Qtr 2,May,31,Breguet,Breguet 14F ADAI,English ChannelAir Union,,0,1,1,International Waters,1926-05-31
110,1926,Qtr 3,July,3,Caudron,Caudron C 61F,Rossaugpt Czechoslovakia,Aérienne Navigation de Internationale Compagnie,0,6,6,Slovakia,1926-07-03
111,1926,Qtr 3,July,9,Fokker,Fokker F7H NACC,Wolvertem Belgium,Airlines Dutch Royal KLM,0,2,2,Belgium,1926-07-09
112,1926,Qtr 3,July,24,Junkers,Junkers F 13D,Juist Germany,Lufthansa Deutsche,0,5,5,Germany,1926-07-24
113,1926,Qtr 3,August,18,Bleriot,Bleriot 155F AIEB,Hurst Kent,England Air Union,0,3,15,UK,1926-08-18
114,1926,Qtr 3,September,26,Sikorsky,Sikorsky S 25?,New York New,York?,0,2,5,New Zealand,1926-09-26
115,1926,Qtr 4,October,2,Bleriot,Bleriot 155F  AICQ,Leigh Kent,Unied Kingdom Air Union,0,7,7,UK,1926-10-02
116,1926,Qtr 4,October,8,Fokker,Fokker FG IIID 468,Bueren Germany,Lufthansa Deutsche,0,4,4,Germany,1926-10-08
117,1926,Qtr 4,October,21,Handley Page,Handley Page W 10G,English ChannelImperial Airways,,0,0,12,International Waters,1926-10-21
118,1926,Qtr 4,November,11,Breguet,Breguet 14F AFAX,Cape Bojador Morocco,Aeriens Express Grands,0,3,3,Morocco,1926-11-11
119,1926,Qtr 4,December,16,,Ryan M 12,Medford Oregon,Transport Air Pacific,0,1,1,USA,1926-12-16
120,1927,Qtr 1,January,12,Fokker,Fokker F VIIG,Estaires France,Fokker,0,0,0,France,1927-01-12
121,1927,Qtr 1,March,20,Breguet,Breguet 14F ALRA,Rabat Morocco,Aeriens Express Grands,0,1,1,Morocco,1927-03-20
122,1927,Qtr 1,March,24,De Havilland,de Havilland DH 9CG,Tambo Qld,Australia Qantas,0,3,3,Australia,1927-03-24
123,1927,Qtr 2,April,15,,"Swallow
Swallow?",King Hill Idaho,Lines Air Varney,0,1,1,USA,1927-04-15
124,1927,Qtr 2,April,22,McDonnell Douglas,Douglas M 4626,Goshen Indiana,Service Mail Aerial US,0,1,1,USA,1927-04-22
125,1927,Qtr 2,April,22,Fokker,Fokker FG IIID 729,Floh Germany,Lufthansa Deutsche,0,2,2,Germany,1927-04-22
126,1927,Qtr 2,May,2,SPCA,SPCA Meteore 63F AIFN,Algiers Algeria,Union Air,0,1,3,Algeria,1927-05-02
127,1927,Qtr 3,July,27,Junkers,Junkers F 13D,Amoneburg Germany,Lufthansa Deutsche,0,5,5,Germany,1927-07-27
128,1927,Qtr 3,August,22,Fokker,Fokker F VIIIH,Sevenoaks England,Airlines Dutch Royal KLM,0,1,11,UK,1927-08-22
129,1927,Qtr 3,September,3,Fokker,"Fokker UniversalNC52  	
NC52",Willington Connecticut,Transport Air Colonial,0,1,1,USA,1927-09-03
130,1927,Qtr 3,September,17,Fokker,Fokker F VIINC776,Hadley New,Airways JerseyReynolds,0,7,12,Papua New Guinea,1927-09-17
131,1927,Qtr 3,September,17,Fokker,Fokker F7NX703,Atlantic OceanPrivate,,0,3,3,International Waters,1927-09-17
132,1927,Qtr 3,September,23,Dornier,Dornier MerkurD 585,Schleiz Germany,Lufthansa Deutsche,0,6,6,Germany,1927-09-23
133,1927,Qtr 4,October,6,Breguet,Breguet 14F AGBN,Thies Mauritania,Latecoere Aeriennes Lignes,0,2,2,Mauritania,1927-10-06
134,1927,Qtr 4,October,30,Fairchild,Fairchild FC 2?,New Brunswick New,Transport Air JerseyColonial,0,4,4,Canada,1927-10-30
135,1927,Qtr 4,November,8,Farman,Farman F 121 JabiruF,Strasburg France,CIDNA,0,1,1,France,1927-11-08
136,1927,Qtr 4,November,16,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,,0,6,6,Finland,1927-11-16
137,1927,Qtr 4,November,29,McDonnell Douglas,"Douglas M 4NC62  	
NC1062",Corunna Indiana,Transport Air National,0,1,1,USA,1927-11-29
138,1927,Qtr 4,December,28,Breguet,Breguet 14F AFGS,Almeria Spain,Aeropostale,0,1,1,Spain,1927-12-28
139,1927,Qtr 4,December,31,,Latécoère 23 (flying boat)F AIHP,Near Marseille Airlines,,0,5,5,France,1927-12-31
140,1928,Qtr 1,January,8,Fairchild,Fairchild FC 2NC3780,Near Canajoharie New,Airlines Western YorkColonial,0,3,3,New Zealand,1928-01-08
141,1928,Qtr 1,January,16,Latecoere,Latecoere 25F AIKG,Solis Uruguay,Aeropostale,0,2,2,Uruguay,1928-01-16
142,1928,Qtr 1,January,22,Breguet,Breguet 14F AHEQ,Tarragona Spain,Aeropostale,0,2,2,Spain,1928-01-22
143,1928,Qtr 1,January,22,Breguet,"Breguet 14
 F AHEQ",L'Hospitalet Ariège,Aeropostale,0,1,1,France,1928-01-22
144,1928,Qtr 1,January,27,Breguet,Breguet 14F AFHN,Almeria Spain,Aeropostale,0,1,1,Spain,1928-01-27
145,1928,Qtr 1,February,26,Boeing,Boeing 40NC280,Marquette Nebraska,Transport Air Boeing,0,1,2,USA,1928-02-26
146,1928,Qtr 1,March,11,Farman,Farman F 60 GoliathF,Off Cape Griz Nez France,Union Air,0,2,2,France,1928-03-11
147,1928,Qtr 2,April,17,Boeing,"Boeing 40NC282
NC282",Federal Wyoming,Transport Air Boeing,0,1,2,USA,1928-04-17
148,1928,Qtr 2,April,19,Rohrbach,Rohrbach RolandM CCCC,Minuesa Spain,Airlines Iberia,0,9,9,Spain,1928-04-19
149,1928,Qtr 2,May,7,Latecoere,Latecoere 26F AIMQ,"Florianopolis Brazil
Florianopolis",BrazilFlorianopolis,0,1,5,Brazil,1928-05-07
150,1928,Qtr 2,May,12,Ford,Ford 4NC1492,Dearborn Minnesota,Inc. Freight Air Ford,0,2,2,USA,1928-05-12
151,1928,Qtr 2,May,26,Junkers,Junkers F 13D,Radevormwald Germany,Lufthansa Deutsche,0,3,5,Germany,1928-05-26
152,1928,Qtr 2,June,14,,AEGKD  74,Frankfurt Germany,Lufthansa Deutsche,0,5,5,Germany,1928-06-14
153,1928,Qtr 2,June,22,McDonnell Douglas,Douglas M 4NC1059,Lebo Kansas,Transport Air National,0,1,1,USA,1928-06-22
154,1928,Qtr 3,July,10,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,,0,6,6,Finland,1928-07-10
155,1928,Qtr 3,July,13,Vickers,Vickers 74 VulcanG EBLB,Purley England,Airways Imperial,0,4,6,UK,1928-07-13
156,1928,Qtr 3,July,24,Fokker,Fokker (KLM) F.IIIH NABR,Waalhaven Netherlands,Airlines Dutch Royal KLM,0,1,6,Netherlands,1928-07-24
157,1928,Qtr 3,August,25,Ford,Ford 4 AT,Near Port Townsend BC,Canada British Columbia Airways,0,7,7,USA,1928-08-25
158,1928,Qtr 3,September,2,Bleriot,Bleriot Spad 33F AIEP,Toul France,CIDNA,0,5,5,France,1928-09-02
159,1928,Qtr 3,September,4,De Havilland,de Havilland DH.50JG AUHI,Adelaide Hills Australia,Qantas,0,1,2,Australia,1928-09-04
160,1928,Qtr 3,September,4,Fokker,Fokker Super UniversalNC7242,Pocatello Idaho,Airways Parks National,0,7,7,USA,1928-09-04
161,1928,Qtr 3,September,6,Fokker,Fokker FG IIID 180,Heroldbach Germany,Lufthansa Deutsche,0,3,3,Germany,1928-09-06
162,1928,Qtr 4,October,4,Breguet,"Breguet 14F AEEJ
F",Gerona Spain,Aeropostale,0,3,3,Spain,1928-10-04
163,1928,Qtr 4,October,18,McDonnell Douglas,Douglas M 4NC1064,Polk Pennsylvania,Transport Air National,0,1,1,USA,1928-10-18
164,1928,Qtr 4,October,31,Bleriot,Bleriot Spad 56F AIMN,Valence France,Union Air,0,1,2,France,1928-10-31
165,1928,Qtr 4,November,15,Latecoere,Latecoere 32F AISN,Off GibraltarAeropostale,,0,1,3,UK,1928-11-15
166,1928,Qtr 4,November,24,,Hamilton H 47NC7521,Edgerton Ohio,Airlines Universal,0,3,3,USA,1928-11-24
167,1928,Qtr 4,November,25,Aerocomp Comp Air,Travel Air 4000NC5436,Edgerton Ohio,Lines Air Continental,0,1,1,USA,1928-11-25
168,1928,Qtr 4,November,25,McDonnell Douglas,Douglas M 4NC792,Bristolville Ohio,Transport Air National,0,1,1,USA,1928-11-25
169,1928,Qtr 4,December,1,Ford,Ford 4 AT,Spur Texas,Co. Transport Air Sunbeam,0,5,5,USA,1928-12-01
170,1928,Qtr 4,December,3,Dornier,Dornier WalP BACA,Near Rio de Janeiro Condor,,0,14,14,Brazil,1928-12-03
171,1928,Qtr 4,December,10,Ford,Ford Tri motor 4NC7687,Spokan Washington,Airways Spokane,0,5,5,USA,1928-12-10
172,1928,Qtr 4,December,11,Junkers,Junkers G 31D,Letzlingen Germany,Lufthansa Deutsche,0,3,4,Germany,1928-12-11
173,1928,Qtr 4,December,20,McDonnell Douglas,Douglas M 4NC790,Huron Ohio,Transport Air National,0,1,1,USA,1928-12-20
174,1928,Qtr 4,December,23,Fairchild,Fairchild FC 2?,Chattanooga Tennessee,Airlines Interstate,0,4,4,USA,1928-12-23
175,1928,Qtr 4,December,31,Blériot and SPAD,Blériot Spad 66F AEHX,Reims France,CIDNA,0,2,3,France,1928-12-31
176,1929,Qtr 1,January,5,Fairchild,Fairchild FC 2NC5650,Stafford Springs Connecticut,Transport Air Colonial,0,1,1,USA,1929-01-05
177,1929,Qtr 1,January,18,Stearman,Stearman C 38NC1682,Cove Oregon,Lines Air Varney,0,1,1,USA,1929-01-18
178,1929,Qtr 1,January,25,CASA,CMASA WalI AZDA,Near Corfu Greece,Aeroespresso,0,2,9,Greece,1929-01-25
179,1929,Qtr 1,January,31,Aerocomp Comp Air,Travel Air 4000NC6480,Morgantown West,Company Transportation VirginiaSkyline,0,1,1,US,1929-01-31
180,1929,Qtr 1,January,31,Latecoere,"Latecoere 26F AIMU
F",Off MoroccoAeropostale,,0,2,2,Morocco,1929-01-31
181,1929,Qtr 1,March,17,Ford,Ford 5 AT,Newark New,Airlines Western JerseyColonial,0,14,15,New Zealand,1929-03-17
182,1929,Qtr 1,March,30,Fokker,Fokker F VIIANC7888,Near Beaumont California,Airlines Standard New,0,4,4,USA,1929-03-30
183,1929,Qtr 2,April,21,Ford,Ford 5 AT,San Diego California,Force Air U.S.Army - Military / Airlines Maddux,0,6,6,USA,1929-04-21
184,1929,Qtr 2,May,9,Ford,Ford Tri motor 4M,Tampico Mexico,Mexicana,0,5,5,Mexico,1929-05-09
185,1929,Qtr 2,May,18,Fokker,Fokker F IIIH,Tököl,HungaryMALERT Pest,0,2,2,Hungary,1929-05-18
186,1929,Qtr 2,May,22,,Cams 53F AISX,AlgiersAeropostale,,0,4,6,Algeria,1929-05-22
187,1929,Qtr 2,June,13,Fokker,Fokker F XNC9700,Santiago de Cuba Cuba,Airways American Pan,0,2,5,Cuba,1929-06-13
188,1929,Qtr 2,June,14,Breguet,Breguet 14F AFEJ,Barcelona Spain,Aeropostale,0,1,2,Spain,1929-06-14
189,1929,Qtr 2,June,17,Handley Page,Handley Page W 10G,Off Dungeness England,Airways Imperial,0,7,13,UK,1929-06-17
190,1929,Qtr 2,June,24,Ford,Ford 5 AT,St. Paul Minnesota,Airlines Orient Northwest,0,1,8,USA,1929-06-24
191,1929,Qtr 2,June,29,,Domier Delphin III (flying boat)D 1620,Near Lindau Bavaria,Germany Bodensee Aerolloyd,0,5,5,Germany,1929-06-29
192,1929,Qtr 2,June,29,Aerocomp Comp Air,Travel Air 4000NC5435,Columbus Ohio,Lines Air Continental,0,1,1,USA,1929-06-29
193,1929,Qtr 3,August,11,Lockheed Martin,Lockheed 5 VegaNC870E,Clovis New,Airlines States MexicoMiddle,0,4,4,New Zealand,1929-08-11
194,1929,Qtr 3,August,24,Kalinin,Kalinin K 4CCCP,Sochi Russia,Ukvozduchput,0,1,1,Russia,1929-08-24
195,1929,Qtr 3,August,24,Fokker,Fokker FG IID 757,Elm Germany,Lufthansa Deutsche,0,4,5,Germany,1929-08-24
196,1929,Qtr 3,September,2,Lockheed Martin,Lockheed VegaNR859E,Needles California,Aviators Associated,0,1,2,USA,1929-09-02
197,1929,Qtr 3,September,3,Ford,Ford 5 AT,Mt. Taylor near,New Mexico          Grants Trans Continental Air Transport,0,8,8,Equatorial Guinea,1929-09-03
198,1929,Qtr 3,September,6,De Havilland,de Havilland DH 66 HerculesG,Jask Iran,Airways Imperial,0,3,5,Iran,1929-09-06
