Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2833,1975,Qtr 4,October,30,McDonnell Douglas,McDonnell Douglas DC 9,Near Prague Czechoslovakia,Aviopromet Adria Inex,0,75,120,Slovakia,1975-10-30,Thursday
2834,1975,Qtr 4,November,3,Bell,Bell 212N90057,Gulf of MexicoPetroleum Helicopter,Unknown,0,9,9,USA,1975-11-03,Monday
2835,1975,Qtr 4,November,17,Antonov,Antonov AN 24CCCP,Near Sukhumi Georgia,USSRAeroflot,0,38,38,USA,1975-11-17,Monday
2836,1975,Qtr 4,November,18,McDonnell Douglas,Douglas DC 3TG,Caoba Guatemala,Aviateca,0,15,22,Guatemala,1975-11-18,Tuesday
2837,1975,Qtr 4,November,20,Antonov,Antonov AN 24CCCP,Kharkov Ukraine,USSRAeroflot,0,19,50,Ukraine,1975-11-20,Thursday
2838,1975,Qtr 4,November,22,Antonov,Antonov AN 24BLZ,Sofia Bulgaria,Airlines Bulgarian Balkan,0,3,48,Bulgaria,1975-11-22,Saturday
2839,1975,Qtr 4,November,25,Lockheed Martin,Lockheed C 130 Hercules011,Near Bir Lahfan Egypt,Force Air  Israel - Military,0,20,20,Egypt,1975-11-25,Tuesday
2840,1975,Qtr 4,November,29,Unknown,Piper PA 23,Hertfordshire England,Private,0,6,6,UK,1975-11-29,Saturday
2841,1975,Qtr 4,December,26,Mitsubishi,Mitsubishi MU 2BN133MA,Rollinsville Colorado,Aviation Star,0,9,9,USA,1975-12-26,Friday
2842,1976,Qtr 1,January,1,Boeing,Boeing B 720B,Near Al Qaysumah Saudi,Airlines East ArabiaMiddle,0,82,82,Saudi Arabia,1976-01-01,Thursday
2843,1976,Qtr 1,January,3,Learjet,Lear Jet 24AN651LJ,Anchorage Alaska,Air Winship,0,6,6,USA,1976-01-03,Saturday
2844,1976,Qtr 1,January,3,Tupolev,Tupolev Tu 124CCCP,Moscow Russia,Aeroflot,1,61,61,Russia,1976-01-03,Saturday
2845,1976,Qtr 1,January,8,Britten,Britten  Norman BN,Mactan Island Philippines,Aerotransport Philippine,0,7,7,Philippines,1976-01-08,Thursday
2846,1976,Qtr 1,January,18,McDonnell Douglas,Douglas C 47CP,Near San Borja Bolivia,Maniqui Frigorifico,0,7,10,Bolivia,1976-01-18,Sunday
2847,1976,Qtr 1,January,20,Hawker Siddeley,Hawker Siddeley HS 748,Near Loja Ecuador,TAME,0,34,42,Ecuador,1976-01-20,Tuesday
2848,1976,Qtr 1,January,21,Antonov,Antonov AN 24B,Near Shanghai China,CAAC,0,40,40,China,1976-01-21,Wednesday
2849,1976,Qtr 1,January,22,Embraer,Embraer 110C BandeirantePT TBD,Chapeco Brazil,Transbrasil,0,9,11,Brazil,1976-01-22,Thursday
2850,1976,Qtr 1,February,4,McDonnell Douglas,Douglas DC 6AHK,Off Santa Maria Colombia,Colombia LAC,0,3,3,Colombia,1976-02-04,Wednesday
2851,1976,Qtr 1,February,8,McDonnell Douglas,Douglas DC 6N901MA,Van Nuys California,Airlines Mercer,0,3,6,USA,1976-02-08,Sunday
2852,1976,Qtr 1,February,9,Tupolev,Tupolev TU 104ACCCP,Irkutsk Russia,Aeroflot,0,24,124,Russia,1976-02-09,Monday
2853,1976,Qtr 1,February,21,Grumman,Grumman G 21A seaplaneN4772C,St. Croix Virgin,Air IslandsAntilles,0,5,11,USA,1976-02-21,Saturday
2854,1976,Qtr 1,March,1,Ilyushin,Ilyushin II 14PYR,Sibiu Romania,TAROM,0,6,9,Romania,1976-03-01,Monday
2855,1976,Qtr 1,March,2,Israel Aerospace Industries (IAI),IAI Arava 201TAM 76,Southeastern BoliviaTAM (Bolivia),Unknown,0,19,22,Bolivia,1976-03-02,Tuesday
2856,1976,Qtr 1,March,6,Ilyushin,Ilyushin IL 18ECCCP,Near Voronezh Russia,Aeroflot,7,111,111,Russia,1976-03-06,Saturday
2857,1976,Qtr 1,March,7,Cessna,Cessna 207N91142,Igiugig Alaska,Airlines Alaska Western Kodiak,0,4,4,USA,1976-03-07,Sunday
2858,1976,Qtr 2,April,2,McDonnell Douglas,Douglas DC 3FAC,Near Puerto Asis Colombia,Satena,0,5,16,Colombia,1976-04-02,Friday
